datetime,Open,High,Low,Close,Volume,VWAP,Transactions
2025-03-26 04:00:00,169.0,169.61,164.84,165.06,28939326.0,166.5925,397728
2025-03-27 04:00:00,164.63,165.42,162.0,162.24,24508273.0,163.2675,371299
2025-03-28 04:00:00,160.49,161.82,153.63,154.33,48669335.0,155.934,707306
2025-03-31 04:00:00,153.11,155.54,150.662,154.64,54603464.0,153.5897,605377
2025-04-01 04:00:00,153.62,158.1,153.62,157.07,30672899.0,156.5493,465739
2025-04-02 04:00:00,155.15,158.4052,154.7,157.04,25041730.0,156.5778,373451
2025-04-03 04:00:00,151.11,152.7799,150.39,150.72,46883371.0,151.3862,718965
2025-04-04 04:00:00,148.01,151.07,145.38,145.6,62259539.0,147.704,977482
2025-04-07 04:00:00,141.55,152.85,140.53,146.75,76794136.0,145.9069,1272151
2025-04-08 04:00:00,151.22,152.24,143.03,144.7,52200208.0,147.6967,875794
2025-04-09 04:00:00,144.415,159.55,143.905,158.71,70406232.0,152.9003,1068212
2025-04-10 04:00:00,156.54,157.72,149.93,152.82,48021972.0,153.771,827965
2025-04-11 04:00:00,152.9,157.67,152.82,157.14,33636239.0,156.1732,542050
2025-04-14 04:00:00,159.995,161.72,157.56,159.07,30332957.0,159.5837,448552
2025-04-15 04:00:00,159.125,159.65,155.21,156.31,27551534.0,156.8253,397094
2025-04-16 04:00:00,153.1,155.89,151.51,153.33,28187421.0,153.5575,410388
2025-04-17 04:00:00,154.29,154.68,148.5,151.16,33046576.0,151.3675,479261
2025-04-21 04:00:00,148.88,148.945,146.1,147.67,26049115.0,147.3528,394878
2025-04-22 04:00:00,148.89,152.19,148.54,151.47,26971774.0,150.6666,375009
2025-04-23 04:00:00,155.61,157.525,153.81,155.35,31128833.0,155.7075,453650
2025-04-24 04:00:00,156.15,159.59,155.79,159.28,45893951.0,159.9577,589964
2025-04-25 04:00:00,165.07,166.1,161.04,161.96,56033995.0,163.0341,691977
2025-04-28 04:00:00,162.425,163.15,158.6,160.61,29745782.0,160.397,423036
2025-04-29 04:00:00,160.325,160.74,157.52,160.16,26808958.0,159.6894,366834
2025-04-30 04:00:00,157.975,159.27,155.4,158.8,34981059.0,157.8333,419220
2025-05-01 04:00:00,160.45,161.95,158.91,161.3,30203248.0,160.9748,404711
2025-05-02 04:00:00,163.405,164.97,161.87,164.03,25715005.0,163.838,348172
2025-05-05 04:00:00,163.0,165.39,162.72,164.21,21341814.0,164.5223,284195
2025-05-06 04:00:00,162.17,164.8,161.19,163.23,21277210.0,163.3455,263734
2025-05-07 04:00:00,164.08,165.0,147.84,151.38,127747554.0,152.4248,1676706
2025-05-08 04:00:00,155.0,155.93,152.9,154.28,57498692.0,154.373,787371
2025-05-09 04:00:00,154.17,155.05,152.2,152.75,32435281.0,153.1506,472801
2025-05-12 04:00:00,157.485,159.1,156.25,158.46,44138818.0,157.8237,665564
2025-05-13 04:00:00,158.79,160.57,156.16,159.53,42382126.0,159.1,634984
2025-05-14 04:00:00,159.96,167.0,159.61,165.37,48755869.0,164.2079,774355
2025-05-15 04:00:00,165.84,166.205,162.3732,163.96,33146669.0,164.3632,515220
2025-05-16 04:00:00,167.725,169.35,165.62,166.19,42846925.0,166.9713,671559
2025-05-19 04:00:00,164.51,166.64,164.22,166.54,30426097.0,165.494,445544
2025-05-20 04:00:00,166.43,168.5,162.9,163.98,46607656.0,165.434,696225
2025-05-21 04:00:00,163.69,173.14,163.56,168.56,73415956.0,169.7933,964766
2025-05-22 04:00:00,171.85,176.77,170.71,170.87,74864418.0,173.3477,999932
2025-05-23 04:00:00,169.055,169.96,167.89,168.47,35211439.0,169.0343,541621
2025-05-27 04:00:00,170.16,173.17,170.0,172.9,37995670.0,172.2077,542049
2025-05-28 04:00:00,173.16,175.265,171.9107,172.36,34783997.0,172.9493,437665
2025-05-29 04:00:00,174.0,174.4193,170.63,171.86,29373803.0,172.1026,430878
2025-05-30 04:00:00,171.35,172.205,167.44,171.74,52639911.0,170.7986,515566
